iter	MultiClass
0	1.069879723
1	1.044121284
2	1.021389053
3	1.000904125
4	0.9824730885
5	0.965894226
6	0.9508633946
7	0.9374540463
8	0.9252003693
9	0.9142010071
10	0.9041583679
11	0.8949261013
12	0.8864928571
13	0.8787772474
14	0.8715770022
15	0.8647652411
16	0.8588839043
17	0.8535135026
18	0.8483034776
19	0.8436094628
20	0.8390780394
21	0.835201687
22	0.8318579547
23	0.8283491397
24	0.8251691982
25	0.8223036429
26	0.8195052649
27	0.8160991537
28	0.813631218
29	0.8112467002
30	0.8090349241
31	0.8069106261
32	0.8051235989
33	0.8031280267
34	0.8015954981
35	0.8001254407
36	0.7988688189
37	0.7976607346
38	0.7964197076
39	0.7953667401
40	0.79398453
41	0.7924735019
42	0.7913475437
43	0.7903621226
44	0.7894013394
45	0.7882500974
46	0.7874154562
47	0.7865328313
48	0.7852229659
49	0.7844594699
50	0.7838128883
51	0.7826265813
52	0.7819354301
53	0.7812819277
54	0.7806621985
55	0.7797625946
56	0.7788975945
57	0.7783138531
58	0.7777990424
59	0.7766221475
60	0.7759308118
61	0.7750890653
62	0.7740265934
63	0.7731629773
64	0.7724465885
65	0.7714284093
66	0.7708488204
67	0.7695537193
68	0.7692012691
69	0.7685609623
70	0.7680500733
71	0.7662220291
72	0.7655016263
73	0.7649887533
74	0.7645134831
75	0.7634334325
76	0.7629141924
77	0.7627373445
78	0.7624117929
79	0.7619881975
80	0.7608369094
81	0.7605172173
82	0.7601704421
83	0.7594633732
84	0.7591621365
85	0.7583074713
86	0.7574253077
87	0.7570126009
88	0.7558971161
89	0.7556820195
90	0.7553307689
91	0.7548241708
92	0.7542483191
93	0.7538492231
94	0.7536228226
95	0.7528435935
96	0.7523820263
97	0.7517217416
98	0.7507883184
99	0.7503795334
100	0.7497685705
101	0.7489571368
102	0.7486564537
103	0.748255097
104	0.7475242669
105	0.7467602172
106	0.745348617
107	0.7445022567
108	0.743915378
109	0.743029431
110	0.7429316179
111	0.7426304273
112	0.7423099048
113	0.7416834856
114	0.740523016
115	0.7399716176
116	0.7396211513
117	0.739146527
118	0.7387596115
119	0.7375529114
120	0.7372486756
121	0.7369256617
122	0.7361136743
123	0.7357788951
124	0.7356805745
125	0.7348400737
126	0.7343921634
127	0.733813405
128	0.7336484146
129	0.732599738
130	0.7314892361
131	0.7307796296
132	0.7304078014
133	0.7300404024
134	0.7295200089
135	0.7285821102
136	0.7280902302
137	0.727624003
138	0.7269854956
139	0.7265366164
140	0.725711572
141	0.7254154566
142	0.7252792565
143	0.7250175602
144	0.7246771982
145	0.7241257537
146	0.7235480565
147	0.722995966
148	0.7223833422
149	0.7218444472
150	0.7215542376
151	0.72132147
152	0.7211948666
153	0.72070211
154	0.7202765306
155	0.7201257046
156	0.7199722949
157	0.7196299951
158	0.7192370817
159	0.7189044709
160	0.7183854616
161	0.7178911362
162	0.7176606294
163	0.7169733539
164	0.7167372182
165	0.7158994396
166	0.7156016171
167	0.7150847302
168	0.7146440636
169	0.7143473023
170	0.7135517863
171	0.7129413771
172	0.712507539
173	0.7121636244
174	0.7114040963
175	0.7104741334
176	0.7102019177
177	0.7099523558
178	0.7095050914
179	0.7091944887
180	0.7089252257
181	0.7087329676
182	0.7081352464
183	0.7080001074
184	0.7076768166
185	0.7069572904
186	0.7064370353
187	0.7060507657
188	0.7059086138
189	0.7057046365
190	0.7052256752
191	0.7048472491
192	0.7046490853
193	0.7043826829
194	0.7039646703
195	0.7036065451
196	0.7033270395
197	0.7030872128
198	0.7026675391
199	0.7019295576
200	0.7014934126
201	0.7011764888
202	0.7007500329
203	0.7001902834
204	0.6997768384
205	0.6995350739
206	0.699204724
207	0.6985539438
208	0.6978847544
209	0.6975549581
210	0.6970770579
211	0.6966631515
212	0.6963866911
213	0.6959294609
214	0.6955478974
215	0.6951261014
216	0.6946864038
217	0.6938417044
218	0.693158489
219	0.6928862271
220	0.6924905915
221	0.6919792411
222	0.6916445541
223	0.6913195562
224	0.6909785483
225	0.6905882186
226	0.6903132807
227	0.6896660992
228	0.6890839727
229	0.6889223504
230	0.6885518601
231	0.6881762947
232	0.6874066162
233	0.6868512499
234	0.6867869331
235	0.6864413575
236	0.6857676005
237	0.6855023977
238	0.6848213047
239	0.6843601066
240	0.6838745475
241	0.6834401096
242	0.6826398875
243	0.6822721656
244	0.6817638603
245	0.6813700241
246	0.6809574557
247	0.6802921881
248	0.6798925846
249	0.6793038603
250	0.6792506168
251	0.678811888
252	0.6784747096
253	0.678354058
254	0.6780495455
255	0.677793432
256	0.6774610519
257	0.677108371
258	0.6765249988
259	0.6759255244
260	0.6755279509
261	0.674680068
262	0.6741299154
263	0.6735362543
264	0.6729670004
265	0.6725600148
266	0.6722904751
267	0.6713033008
268	0.6708816432
269	0.6705478328
270	0.6702802309
271	0.6699684285
272	0.6694494192
273	0.6691987961
274	0.6688971442
275	0.6686216987
276	0.6681067034
277	0.6676633147
278	0.6670147952
279	0.6665635169
280	0.6659668107
281	0.6654459559
282	0.6647597414
283	0.664537678
284	0.6644021238
285	0.6639878022
286	0.6637381941
287	0.6635011357
288	0.6631106215
289	0.6628219805
290	0.6626321677
291	0.6624506597
292	0.6621237701
293	0.6619156404
294	0.6614759428
295	0.6610767545
296	0.6609055354
297	0.6605628204
298	0.6602767631
299	0.6599454904
300	0.6595486091
301	0.6592386983
302	0.6590009017
303	0.6587816527
304	0.6580789208
305	0.6579745099
306	0.6577661956
307	0.6573284819
308	0.656993149
309	0.6565170483
310	0.6559262478
311	0.6554092685
312	0.6549985457
313	0.6545307499
314	0.6541614592
315	0.6538327702
316	0.6529229698
317	0.6524204318
318	0.652235971
319	0.6520221663
320	0.6515818227
321	0.6511104281
322	0.6505118302
323	0.6499089877
324	0.6494829469
325	0.6493490998
326	0.648955079
327	0.6484375923
328	0.6482027947
329	0.6478943142
330	0.6472513775
331	0.6467780451
332	0.6463435149
333	0.6461095939
334	0.645977823
335	0.645833318
336	0.6455475837
337	0.6451384757
338	0.6448871144
339	0.64468609
340	0.6445478598
341	0.6439667022
342	0.6436351526
343	0.6432229995
344	0.6423590605
345	0.6420496112
346	0.6418078928
347	0.6415005658
348	0.6414207005
349	0.6411677244
350	0.6410036567
351	0.6408127366
352	0.6405173594
353	0.6403775144
354	0.6398134741
355	0.6395054089
356	0.6392176907
357	0.6386919451
358	0.6384874142
359	0.6383266685
360	0.6379985332
361	0.6378885857
362	0.6376311803
363	0.6372743931
364	0.6369141917
365	0.6366671674
366	0.6362583363
367	0.6358271742
368	0.6355163868
369	0.6350548196
370	0.6345998041
371	0.6341417895
372	0.6340838399
373	0.6336657811
374	0.633505912
375	0.6333142536
376	0.6328900123
377	0.6324460238
378	0.6323220503
379	0.6320992486
380	0.6317642386
381	0.6315802854
382	0.6311828965
383	0.6310968486
384	0.6306166877
385	0.6302922896
386	0.6298967463
387	0.6296438163
388	0.6294105874
389	0.6291926302
390	0.6290839285
391	0.6287607299
392	0.6285878037
393	0.6282711107
394	0.6280395888
395	0.6276605169
396	0.6274956648
397	0.6272465182
398	0.627015873
399	0.6268697993
400	0.626656133
401	0.6262474864
402	0.6257074841
403	0.6254870355
404	0.6252456863
405	0.6250908924
406	0.6249306542
407	0.6248917135
408	0.6245282824
409	0.6238617229
410	0.6238022968
411	0.6236442732
412	0.6233133696
413	0.623078249
414	0.6226999153
415	0.6224707465
416	0.6218784235
417	0.6215036423
418	0.6212010676
419	0.6205589614
420	0.6203397585
421	0.6200138378
422	0.6199659924
423	0.6195938412
424	0.6193806363
425	0.6190854898
426	0.6189378473
427	0.6188684554
428	0.6181110035
429	0.6177894198
430	0.6173039068
431	0.6171641079
432	0.6169654827
433	0.6166603703
434	0.6163241147
435	0.6154894273
436	0.6150929612
437	0.6147821739
438	0.6144646965
439	0.614341738
440	0.6139015328
441	0.6137586888
442	0.6135710906
443	0.6132926462
444	0.6130207072
445	0.6129253856
446	0.6125074652
447	0.6122085354
448	0.6120166925
449	0.6112983197
450	0.6110988178
451	0.6109742907
452	0.6108194506
453	0.6105482038
