iter	Passed	Remaining
0	9	45339
1	17	43611
2	25	42514
3	33	41885
4	41	41862
5	50	42248
6	59	42521
7	68	42688
8	76	42424
9	84	42359
10	93	42273
11	101	42249
12	109	41941
13	118	42076
14	126	41883
15	135	42057
16	144	42445
17	152	42319
18	161	42319
19	170	42518
20	180	42885
21	189	42909
22	198	42924
23	208	43309
24	218	43470
25	228	43792
26	238	43847
27	245	43619
28	254	43607
29	263	43627
30	273	43833
31	281	43762
32	290	43790
33	301	44011
34	309	43868
35	318	43871
36	329	44172
37	338	44163
38	347	44157
39	356	44162
40	365	44227
41	375	44270
42	383	44258
43	393	44285
44	403	44408
45	411	44362
46	420	44324
47	431	44467
48	439	44457
49	448	44424
50	456	44338
51	465	44301
52	475	44365
53	485	44513
54	498	44791
55	508	44901
56	517	44841
57	528	44995
58	537	45037
59	546	45034
60	556	45081
61	566	45099
62	576	45173
63	585	45169
64	594	45145
65	604	45202
66	613	45189
67	622	45138
68	632	45172
69	641	45189
70	650	45156
71	658	45075
72	669	45189
73	681	45358
74	691	45386
75	700	45407
76	710	45398
77	719	45432
78	728	45376
79	737	45347
80	746	45330
81	755	45321
82	765	45336
83	774	45345
84	783	45288
85	792	45263
86	801	45241
87	809	45175
88	817	45097
89	826	45085
90	836	45145
91	845	45084
92	854	45073
93	862	45039
94	871	45018
95	881	45049
96	890	45004
97	899	45011
98	909	45003
99	917	44965
100	927	44980
101	937	45013
102	947	45050
103	958	45100
104	966	45075
105	975	45047
106	986	45131
107	996	45122
108	1004	45086
109	1014	45097
110	1023	45095
111	1032	45040
112	1040	44984
113	1048	44948
114	1058	44971
115	1068	44968
116	1076	44932
117	1086	44968
118	1096	44961
119	1105	44953
120	1113	44895
121	1121	44857
122	1131	44860
123	1140	44839
124	1150	44851
125	1159	44861
126	1170	44909
127	1180	44923
128	1189	44897
129	1198	44912
130	1206	44856
131	1216	44852
132	1225	44843
133	1234	44840
134	1244	44832
135	1252	44792
136	1261	44775
137	1270	44779
138	1279	44739
139	1287	44702
140	1295	44661
141	1304	44636
142	1313	44626
143	1322	44602
144	1331	44570
145	1339	44548
146	1351	44604
147	1359	44557
148	1368	44565
149	1378	44563
150	1387	44567
151	1398	44617
152	1408	44614
